Handle ,Title,Body (HTML),Vendor,Standardized Product Type,Custom Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status,
Extra-Matte-Black-Women-Zipper-Bot-001262,Extra Matte Black Women Zipper Bot 001262,Made in Turkey.,RÝCCON,,Bot & Bootie,Bot & Bootie,TRUE,Body size,36,,,,,36,200,shopify,7529,deny,manual,70.36,71.27,TRUE,TRUE,,https://cdn.dsmcdn.com/ty512/product/media/images/20220817/16/161528014/546066260/1/1_org_zoom.jpg,1,,FALSE,Extra Matte Black Women Zipper Bot 001262,,,,,,,,used,FALSE,,,,,,,g,,,,,active,
Extra-Matte-Black-Women-Zipper-Bot-001262,,,,,,,,,37,,,,,37,200,shopify,7529,deny,manual,70.36,71.27,TRUE,TRUE,,https://cdn.dsmcdn.com/ty512/product/media/images/20220817/16/161528014/546066260/1/1_org_zoom.jpg,0,,,,,,,,,,,,,,,,,,,,,,,,,
Extra-Matte-Black-Women-Zipper-Bot-001262,,,,,,,,,38,,,,,38,200,shopify,7529,deny,manual,70.36,71.27,TRUE,TRUE,,https://cdn.dsmcdn.com/ty512/product/media/images/20220817/16/161528014/546066260/1/1_org_zoom.jpg,0,,,,,,,,,,,,,,,,,,,,,,,,,
Extra-Matte-Black-Women-Zipper-Bot-001262,,,,,,,,,39,,,,,39,200,shopify,7529,deny,manual,70.36,71.27,TRUE,TRUE,,https://cdn.dsmcdn.com/ty512/product/media/images/20220817/16/161528014/546066260/1/1_org_zoom.jpg,0,,,,,,,,,,,,,,,,,,,,,,,,,
Extra-Matte-Black-Women-Zipper-Bot-001262,,,,,,,,,40,,,,,40,200,shopify,7529,deny,manual,70.36,71.27,TRUE,TRUE,,https://cdn.dsmcdn.com/ty512/product/media/images/20220817/16/161528014/546066260/1/1_org_zoom.jpg,0,,,,,,,,,,,,,,,,,,,,,,,,,
Extra-Matte-Black-Women-Zipper-Bot-001262,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.dsmcdn.com/ty511/product/media/images/20220817/16/161528014/546066260/2/2_org_zoom.jpg,2,,,,,,,,,,,,,,,,,,,,,,,,,
Extra-Matte-Black-Women-Zipper-Bot-001262,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.dsmcdn.com/ty512/product/media/images/20220817/16/161528014/546066260/3/3_org_zoom.jpg,3,,,,,,,,,,,,,,,,,,,,,,,,,
Extra-Matte-Black-Women-Zipper-Bot-001262,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.dsmcdn.com/ty512/product/media/images/20220817/16/161528014/546066260/4/4_org_zoom.jpg,4,,,,,,,,,,,,,,,,,,,,,,,,,
Extra-Matte-Black-Women-Zipper-Bot-001262,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.dsmcdn.com/ty512/product/media/images/20220817/16/161528014/546066260/5/5_org_zoom.jpg,5,,,,,,,,,,,,,,,,,,,,,,,,,
Black-and-White-Women-Sneaker-0012153,Black and White Women Sneaker 0012153,Made in Turkey.,RÝCCON,,Sneaker,Sneaker,TRUE,Body size,36,,,,,36,200,shopify,3588,deny,manual,51.44,55.94,TRUE,TRUE,,https://cdn.dsmcdn.com/ty326/product/media/images/20220207/9/46116604/381837053/1/1_org_zoom.jpg,1,,FALSE,Black and White Women Sneaker 0012153,,,,,,,,used,FALSE,,,,,,,g,,,,,active,
Black-and-White-Women-Sneaker-0012153,,,,,,,,,37,,,,,37,200,shopify,3588,deny,manual,51.44,55.94,TRUE,TRUE,,https://cdn.dsmcdn.com/ty326/product/media/images/20220207/9/46116604/381837053/1/1_org_zoom.jpg,0,,,,,,,,,,,,,,,,,,,,,,,,,
Black-and-White-Women-Sneaker-0012153,,,,,,,,,38,,,,,38,200,shopify,3588,deny,manual,51.44,55.94,TRUE,TRUE,,https://cdn.dsmcdn.com/ty326/product/media/images/20220207/9/46116604/381837053/1/1_org_zoom.jpg,0,,,,,,,,,,,,,,,,,,,,,,,,,
Black-and-White-Women-Sneaker-0012153,,,,,,,,,39,,,,,39,200,shopify,3588,deny,manual,51.44,55.94,TRUE,TRUE,,https://cdn.dsmcdn.com/ty326/product/media/images/20220207/9/46116604/381837053/1/1_org_zoom.jpg,0,,,,,,,,,,,,,,,,,,,,,,,,,
Black-and-White-Women-Sneaker-0012153,,,,,,,,,40,,,,,40,200,shopify,3588,deny,manual,51.44,55.94,TRUE,TRUE,,https://cdn.dsmcdn.com/ty326/product/media/images/20220207/9/46116604/381837053/1/1_org_zoom.jpg,0,,,,,,,,,,,,,,,,,,,,,,,,,
Black-and-White-Women-Sneaker-0012153,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.dsmcdn.com/ty326/product/media/images/20220207/9/46116604/381837053/2/2_org_zoom.jpg,2,,,,,,,,,,,,,,,,,,,,,,,,,
Black-and-White-Women-Sneaker-0012153,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.dsmcdn.com/ty325/product/media/images/20220207/9/46116604/381837053/3/3_org_zoom.jpg,3,,,,,,,,,,,,,,,,,,,,,,,,,
Black-and-White-Women-Sneaker-0012153,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.dsmcdn.com/ty325/product/media/images/20220207/9/46116604/381837053/4/4_org_zoom.jpg,4,,,,,,,,,,,,,,,,,,,,,,,,,
Black-and-White-Women-Sneaker-0012153,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.dsmcdn.com/ty324/product/media/images/20220207/9/46116604/381837053/5/5_org_zoom.jpg,5,,,,,,,,,,,,,,,,,,,,,,,,,
Navy-blue-white-unisex-sneaker-00125052,Navy blue white unisex sneaker 00125052,Made in Turkey.,RÝCCON,,Sneaker,Sneaker,TRUE,Body size,40,,,,,40,200,shopify,7319,deny,manual,47.81,51.44,TRUE,TRUE,,https://cdn.dsmcdn.com/ty105/product/media/images/20210426/13/83080004/167566756/1/1_org_zoom.jpg,1,,FALSE,Navy blue white unisex sneaker 00125052,,,,,,,,used,FALSE,,,,,,,g,,,,,active,
Navy-blue-white-unisex-sneaker-00125052,,,,,,,,,41,,,,,41,200,shopify,7319,deny,manual,47.81,51.44,TRUE,TRUE,,https://cdn.dsmcdn.com/ty105/product/media/images/20210426/13/83080004/167566756/1/1_org_zoom.jpg,0,,,,,,,,,,,,,,,,,,,,,,,,,
Navy-blue-white-unisex-sneaker-00125052,,,,,,,,,42,,,,,42,200,shopify,7319,deny,manual,47.81,51.44,TRUE,TRUE,,https://cdn.dsmcdn.com/ty105/product/media/images/20210426/13/83080004/167566756/1/1_org_zoom.jpg,0,,,,,,,,,,,,,,,,,,,,,,,,,
Navy-blue-white-unisex-sneaker-00125052,,,,,,,,,43,,,,,43,200,shopify,7319,deny,manual,47.81,51.44,TRUE,TRUE,,https://cdn.dsmcdn.com/ty105/product/media/images/20210426/13/83080004/167566756/1/1_org_zoom.jpg,0,,,,,,,,,,,,,,,,,,,,,,,,,
Navy-blue-white-unisex-sneaker-00125052,,,,,,,,,44,,,,,44,200,shopify,7319,deny,manual,47.81,51.44,TRUE,TRUE,,https://cdn.dsmcdn.com/ty105/product/media/images/20210426/13/83080004/167566756/1/1_org_zoom.jpg,0,,,,,,,,,,,,,,,,,,,,,,,,,
Navy-blue-white-unisex-sneaker-00125052,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.dsmcdn.com/ty107/product/media/images/20210426/13/83080004/167566756/2/2_org_zoom.jpg,2,,,,,,,,,,,,,,,,,,,,,,,,,
Navy-blue-white-unisex-sneaker-00125052,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.dsmcdn.com/ty106/product/media/images/20210426/13/83080004/167566756/3/3_org_zoom.jpg,3,,,,,,,,,,,,,,,,,,,,,,,,,
Navy-blue-white-unisex-sneaker-00125052,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.dsmcdn.com/ty105/product/media/images/20210426/13/83080004/167566756/4/4_org_zoom.jpg,4,,,,,,,,,,,,,,,,,,,,,,,,,
Navy-blue-white-unisex-sneaker-00125052,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.dsmcdn.com/ty107/product/media/images/20210426/13/83080004/167566756/5/5_org_zoom.jpg,5,,,,,,,,,,,,,,,,,,,,,,,,,
Shiite:-Bayaz-Unisx-Snake-Boat-122,Shiite: Bayaz Unisx Snake Boat 122,Made in Turkey.,RÝCCON,,Bot & Bootie,Bot & Bootie,TRUE,Body size,40,,,,,40,200,shopify,483,deny,manual,56.86,56.86,TRUE,TRUE,,https://cdn.dsmcdn.com/ty490/product/media/images/20220726/12/149984445/236083236/1/1_org_zoom.jpg,1,,FALSE,Shiite: Bayaz Unisx Snake Boat 122,,,,,,,,used,FALSE,,,,,,,g,,,,,active,
Shiite:-Bayaz-Unisx-Snake-Boat-122,,,,,,,,,41,,,,,41,200,shopify,483,deny,manual,56.86,56.86,TRUE,TRUE,,https://cdn.dsmcdn.com/ty490/product/media/images/20220726/12/149984445/236083236/1/1_org_zoom.jpg,0,,,,,,,,,,,,,,,,,,,,,,,,,
Shiite:-Bayaz-Unisx-Snake-Boat-122,,,,,,,,,42,,,,,42,200,shopify,483,deny,manual,56.86,56.86,TRUE,TRUE,,https://cdn.dsmcdn.com/ty490/product/media/images/20220726/12/149984445/236083236/1/1_org_zoom.jpg,0,,,,,,,,,,,,,,,,,,,,,,,,,
Shiite:-Bayaz-Unisx-Snake-Boat-122,,,,,,,,,43,,,,,43,200,shopify,483,deny,manual,56.86,56.86,TRUE,TRUE,,https://cdn.dsmcdn.com/ty490/product/media/images/20220726/12/149984445/236083236/1/1_org_zoom.jpg,0,,,,,,,,,,,,,,,,,,,,,,,,,
Shiite:-Bayaz-Unisx-Snake-Boat-122,,,,,,,,,44,,,,,44,200,shopify,483,deny,manual,56.86,56.86,TRUE,TRUE,,https://cdn.dsmcdn.com/ty490/product/media/images/20220726/12/149984445/236083236/1/1_org_zoom.jpg,0,,,,,,,,,,,,,,,,,,,,,,,,,
Shiite:-Bayaz-Unisx-Snake-Boat-122,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.dsmcdn.com/ty490/product/media/images/20220726/12/149984445/236083236/2/2_org_zoom.jpg,2,,,,,,,,,,,,,,,,,,,,,,,,,
Shiite:-Bayaz-Unisx-Snake-Boat-122,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.dsmcdn.com/ty490/product/media/images/20220726/12/149984445/236083236/3/3_org_zoom.jpg,3,,,,,,,,,,,,,,,,,,,,,,,,,
Shiite:-Bayaz-Unisx-Snake-Boat-122,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.dsmcdn.com/ty489/product/media/images/20220726/12/149984445/236083236/4/4_org_zoom.jpg,4,,,,,,,,,,,,,,,,,,,,,,,,,
Shiite:-Bayaz-Unisx-Snake-Boat-122,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.dsmcdn.com/ty491/product/media/images/20220726/12/149984445/236083236/5/5_org_zoom.jpg,5,,,,,,,,,,,,,,,,,,,,,,,,,
White-White-Women-Sneaker-0012255,White White Women Sneaker 0012255,Made in Turkey.,RÝCCON,,Sneaker,Sneaker,TRUE,Body size,36,,,,,36,200,shopify,7086,deny,manual,46.0,54.13,TRUE,TRUE,,https://cdn.dsmcdn.com/ty330/product/media/images/20220215/11/50551220/387931571/1/1_org_zoom.jpg,1,,FALSE,White White Women Sneaker 0012255,,,,,,,,used,FALSE,,,,,,,g,,,,,active,
White-White-Women-Sneaker-0012255,,,,,,,,,37,,,,,37,200,shopify,7086,deny,manual,46.0,54.13,TRUE,TRUE,,https://cdn.dsmcdn.com/ty330/product/media/images/20220215/11/50551220/387931571/1/1_org_zoom.jpg,0,,,,,,,,,,,,,,,,,,,,,,,,,
White-White-Women-Sneaker-0012255,,,,,,,,,38,,,,,38,200,shopify,7086,deny,manual,46.0,54.13,TRUE,TRUE,,https://cdn.dsmcdn.com/ty330/product/media/images/20220215/11/50551220/387931571/1/1_org_zoom.jpg,0,,,,,,,,,,,,,,,,,,,,,,,,,
White-White-Women-Sneaker-0012255,,,,,,,,,39,,,,,39,200,shopify,7086,deny,manual,46.0,54.13,TRUE,TRUE,,https://cdn.dsmcdn.com/ty330/product/media/images/20220215/11/50551220/387931571/1/1_org_zoom.jpg,0,,,,,,,,,,,,,,,,,,,,,,,,,
White-White-Women-Sneaker-0012255,,,,,,,,,40,,,,,40,200,shopify,7086,deny,manual,46.0,54.13,TRUE,TRUE,,https://cdn.dsmcdn.com/ty330/product/media/images/20220215/11/50551220/387931571/1/1_org_zoom.jpg,0,,,,,,,,,,,,,,,,,,,,,,,,,
White-White-Women-Sneaker-0012255,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.dsmcdn.com/ty332/product/media/images/20220215/11/50551220/387931571/2/2_org_zoom.jpg,2,,,,,,,,,,,,,,,,,,,,,,,,,
White-White-Women-Sneaker-0012255,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.dsmcdn.com/ty331/product/media/images/20220215/11/50551220/387931571/3/3_org_zoom.jpg,3,,,,,,,,,,,,,,,,,,,,,,,,,
White-White-Women-Sneaker-0012255,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.dsmcdn.com/ty332/product/media/images/20220215/11/50551220/387931571/4/4_org_zoom.jpg,4,,,,,,,,,,,,,,,,,,,,,,,,,
White-White-Women-Sneaker-0012255,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.dsmcdn.com/ty331/product/media/images/20220215/11/50551220/387931571/5/5_org_zoom.jpg,5,,,,,,,,,,,,,,,,,,,,,,,,,
White-White-Women-Sneaker-0012255,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.dsmcdn.com/ty330/product/media/images/20220215/11/50551220/387931571/6/6_org_zoom.jpg,6,,,,,,,,,,,,,,,,,,,,,,,,,
White-White-Women-Sneaker-0012255,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.dsmcdn.com/ty330/product/media/images/20220215/11/50551220/387931571/7/7_org_zoom.jpg,7,,,,,,,,,,,,,,,,,,,,,,,,,
White-White-Women-Sneaker-0012255,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.dsmcdn.com/ty332/product/media/images/20220215/11/50551220/387931571/8/8_org_zoom.jpg,8,,,,,,,,,,,,,,,,,,,,,,,,,
Unisx-Bayaz-Snayak-122,Unisx Bayaz Snayak 122,Made in Turkey.,RÝCCON,,Sneaker,Sneaker,TRUE,Body size,34,,,,,34,200,shopify,4690,deny,manual,28.86,30.67,TRUE,TRUE,,https://cdn.dsmcdn.com/ty87/product/media/images/20210403/13/77419243/160199029/1/1_org_zoom.jpg,1,,FALSE,Unisx Bayaz Snayak 122,,,,,,,,used,FALSE,,,,,,,g,,,,,active,
Unisx-Bayaz-Snayak-122,,,,,,,,,35,,,,,35,200,shopify,4690,deny,manual,28.86,30.67,TRUE,TRUE,,https://cdn.dsmcdn.com/ty87/product/media/images/20210403/13/77419243/160199029/1/1_org_zoom.jpg,0,,,,,,,,,,,,,,,,,,,,,,,,,
Unisx-Bayaz-Snayak-122,,,,,,,,,36,,,,,36,200,shopify,4690,deny,manual,28.86,30.67,TRUE,TRUE,,https://cdn.dsmcdn.com/ty87/product/media/images/20210403/13/77419243/160199029/1/1_org_zoom.jpg,0,,,,,,,,,,,,,,,,,,,,,,,,,
Unisx-Bayaz-Snayak-122,,,,,,,,,37,,,,,37,200,shopify,4690,deny,manual,28.86,30.67,TRUE,TRUE,,https://cdn.dsmcdn.com/ty87/product/media/images/20210403/13/77419243/160199029/1/1_org_zoom.jpg,0,,,,,,,,,,,,,,,,,,,,,,,,,
Unisx-Bayaz-Snayak-122,,,,,,,,,38,,,,,38,200,shopify,4690,deny,manual,28.86,30.67,TRUE,TRUE,,https://cdn.dsmcdn.com/ty87/product/media/images/20210403/13/77419243/160199029/1/1_org_zoom.jpg,0,,,,,,,,,,,,,,,,,,,,,,,,,
Unisx-Bayaz-Snayak-122,,,,,,,,,39,,,,,39,200,shopify,4690,deny,manual,28.86,30.67,TRUE,TRUE,,https://cdn.dsmcdn.com/ty87/product/media/images/20210403/13/77419243/160199029/1/1_org_zoom.jpg,0,,,,,,,,,,,,,,,,,,,,,,,,,
Unisx-Bayaz-Snayak-122,,,,,,,,,40,,,,,40,200,shopify,4690,deny,manual,28.86,30.67,TRUE,TRUE,,https://cdn.dsmcdn.com/ty87/product/media/images/20210403/13/77419243/160199029/1/1_org_zoom.jpg,0,,,,,,,,,,,,,,,,,,,,,,,,,
Unisx-Bayaz-Snayak-122,,,,,,,,,41,,,,,41,200,shopify,4690,deny,manual,28.86,30.67,TRUE,TRUE,,https://cdn.dsmcdn.com/ty87/product/media/images/20210403/13/77419243/160199029/1/1_org_zoom.jpg,0,,,,,,,,,,,,,,,,,,,,,,,,,
Unisx-Bayaz-Snayak-122,,,,,,,,,42,,,,,42,200,shopify,4690,deny,manual,28.86,30.67,TRUE,TRUE,,https://cdn.dsmcdn.com/ty87/product/media/images/20210403/13/77419243/160199029/1/1_org_zoom.jpg,0,,,,,,,,,,,,,,,,,,,,,,,,,
Unisx-Bayaz-Snayak-122,,,,,,,,,43,,,,,43,200,shopify,4690,deny,manual,28.86,30.67,TRUE,TRUE,,https://cdn.dsmcdn.com/ty87/product/media/images/20210403/13/77419243/160199029/1/1_org_zoom.jpg,0,,,,,,,,,,,,,,,,,,,,,,,,,
Unisx-Bayaz-Snayak-122,,,,,,,,,44,,,,,44,200,shopify,4690,deny,manual,28.86,30.67,TRUE,TRUE,,https://cdn.dsmcdn.com/ty87/product/media/images/20210403/13/77419243/160199029/1/1_org_zoom.jpg,0,,,,,,,,,,,,,,,,,,,,,,,,,
Unisx-Bayaz-Snayak-122,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.dsmcdn.com/ty88/product/media/images/20210403/13/77419243/160199029/2/2_org_zoom.jpg,2,,,,,,,,,,,,,,,,,,,,,,,,,
Unisx-Bayaz-Snayak-122,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.dsmcdn.com/ty87/product/media/images/20210403/13/77419243/160199029/3/3_org_zoom.jpg,3,,,,,,,,,,,,,,,,,,,,,,,,,
Unisx-Bayaz-Snayak-122,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.dsmcdn.com/ty87/product/media/images/20210403/13/77419243/160199029/4/4_org_zoom.jpg,4,,,,,,,,,,,,,,,,,,,,,,,,,
Unisx-Bayaz-Snayak-122,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.dsmcdn.com/ty87/product/media/images/20210403/13/77419243/160199029/5/5_org_zoom.jpg,5,,,,,,,,,,,,,,,,,,,,,,,,,
Unisx-Bayaz-Snayak-122,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.dsmcdn.com/ty86/product/media/images/20210403/13/77419243/160199029/6/6_org_zoom.jpg,6,,,,,,,,,,,,,,,,,,,,,,,,,
Unisx-Bayaz-Snayak-122,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.dsmcdn.com/ty87/product/media/images/20210403/13/77419243/160199029/7/7_org_zoom.jpg,7,,,,,,,,,,,,,,,,,,,,,,,,,
Unisx-Bayaz-Snayak-122,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.dsmcdn.com/ty86/product/media/images/20210403/13/77419243/160199029/8/8_org_zoom.jpg,8,,,,,,,,,,,,,,,,,,,,,,,,,
Black-Suede-Woman-Daily-Loafer-Shoes-00121130,Black Suede Woman Daily Loafer Shoes 00121130,Made in Turkey.,RÝCCON,,Loafer shoes,Loafer shoes,TRUE,Body size,36,,,,,36,200,shopify,481,deny,manual,54.13,54.13,TRUE,TRUE,,https://cdn.dsmcdn.com/ty519/product/media/images/20220901/14/168037988/556861395/1/1_org_zoom.jpg,1,,FALSE,Black Suede Woman Daily Loafer Shoes 00121130,,,,,,,,used,FALSE,,,,,,,g,,,,,active,
Black-Suede-Woman-Daily-Loafer-Shoes-00121130,,,,,,,,,37,,,,,37,200,shopify,481,deny,manual,54.13,54.13,TRUE,TRUE,,https://cdn.dsmcdn.com/ty519/product/media/images/20220901/14/168037988/556861395/1/1_org_zoom.jpg,0,,,,,,,,,,,,,,,,,,,,,,,,,
Black-Suede-Woman-Daily-Loafer-Shoes-00121130,,,,,,,,,38,,,,,38,200,shopify,481,deny,manual,54.13,54.13,TRUE,TRUE,,https://cdn.dsmcdn.com/ty519/product/media/images/20220901/14/168037988/556861395/1/1_org_zoom.jpg,0,,,,,,,,,,,,,,,,,,,,,,,,,
Black-Suede-Woman-Daily-Loafer-Shoes-00121130,,,,,,,,,39,,,,,39,200,shopify,481,deny,manual,54.13,54.13,TRUE,TRUE,,https://cdn.dsmcdn.com/ty519/product/media/images/20220901/14/168037988/556861395/1/1_org_zoom.jpg,0,,,,,,,,,,,,,,,,,,,,,,,,,
Black-Suede-Woman-Daily-Loafer-Shoes-00121130,,,,,,,,,40,,,,,40,200,shopify,481,deny,manual,54.13,54.13,TRUE,TRUE,,https://cdn.dsmcdn.com/ty519/product/media/images/20220901/14/168037988/556861395/1/1_org_zoom.jpg,0,,,,,,,,,,,,,,,,,,,,,,,,,
Black-Suede-Woman-Daily-Loafer-Shoes-00121130,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.dsmcdn.com/ty520/product/media/images/20220901/14/168037988/556861395/2/2_org_zoom.jpg,2,,,,,,,,,,,,,,,,,,,,,,,,,
Black-Suede-Woman-Daily-Loafer-Shoes-00121130,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.dsmcdn.com/ty521/product/media/images/20220901/14/168037988/556861395/3/3_org_zoom.jpg,3,,,,,,,,,,,,,,,,,,,,,,,,,
Black-Suede-Woman-Daily-Loafer-Shoes-00121130,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.dsmcdn.com/ty521/product/media/images/20220901/14/168037988/556861395/4/4_org_zoom.jpg,4,,,,,,,,,,,,,,,,,,,,,,,,,
Black-Suede-Woman-Daily-Loafer-Shoes-00121130,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.dsmcdn.com/ty521/product/media/images/20220901/14/168037988/556861395/5/5_org_zoom.jpg,5,,,,,,,,,,,,,,,,,,,,,,,,,
Smoked-Unisex-Furry-Bot-0012x6,Smoked Unisex Furry Bot 0012x6,Made in Turkey.,RÝCCON,,Bot & Bootie,Bot & Bootie,TRUE,Body size,36,,,,,36,200,shopify,1206,deny,manual,64.94,68.58,TRUE,TRUE,,https://cdn.dsmcdn.com/ty188/product/media/images/20211005/20/140790394/254688097/1/1_org_zoom.jpg,1,,FALSE,Smoked Unisex Furry Bot 0012x6,,,,,,,,used,FALSE,,,,,,,g,,,,,active,
Smoked-Unisex-Furry-Bot-0012x6,,,,,,,,,37,,,,,37,200,shopify,1206,deny,manual,64.94,68.58,TRUE,TRUE,,https://cdn.dsmcdn.com/ty188/product/media/images/20211005/20/140790394/254688097/1/1_org_zoom.jpg,0,,,,,,,,,,,,,,,,,,,,,,,,,
